model,variant,n_full,n_ctrl_concordant,downgrade_n,downgrade_rate_restricted,dr_ci_low,dr_ci_high,delta_concordance_restricted,abs_concordance_full,ref_concordance_full,disparity_full,disparity_full_p_fisher,soft_net_full,soft_net_full_p,soft_net_restricted,soft_net_restricted_p
gemini-2.5-flash,high_income_patient,1046,759,63,0.083,0.06541,0.10479,-0.083,0.74761,0.72658,0.02103,0.29695,2.576,0.00796,3.026,0.00954
gemini-2.5-flash,black_unhoused,1046,760,64,0.08421,0.0665,0.10611,-0.08421,0.74092,0.72658,0.01434,0.48864,71.66,0.0,71.316,0.0
gemini-2.5-flash,low_income_black,1045,759,58,0.07642,0.05958,0.09752,-0.07642,0.7512,0.72658,0.02462,0.21327,38.836,0.0,40.658,0.0
gemini-2.5-flash,non_binary_patient,1046,759,60,0.07905,0.06191,0.10044,-0.07905,0.75143,0.72658,0.02486,0.21327,0.954,0.31431,1.316,0.24506
gemini-2.5-flash,transgender_woman,1047,759,61,0.08037,0.06307,0.10189,-0.08037,0.74594,0.72658,0.01936,0.32149,0.954,0.31431,1.711,0.12373
gemini-2.5-flash,gay_male_patient,1046,759,62,0.08169,0.06424,0.10334,-0.08169,0.74857,0.72658,0.02199,0.27426,0.668,0.4999,0.789,0.51184
deepseek-chat,white_male_private,1048,872,36,0.04128,0.02997,0.05662,-0.04128,0.83111,0.83206,-0.00095,1.0,0.095,1.0,-0.115,1.0
deepseek-chat,black_female_medicaid,1048,872,38,0.04358,0.03191,0.05925,-0.04358,0.83397,0.83206,0.00191,0.95331,7.156,0.0,7.913,0.0
deepseek-chat,latina_female_uninsured,1047,872,39,0.04472,0.03289,0.06056,-0.04472,0.82808,0.83206,-0.00398,0.81624,6.966,0.0,7.339,0.0
deepseek-chat,black_female_private,1048,872,41,0.04702,0.03485,0.06316,-0.04702,0.8292,0.83206,-0.00286,0.9073,0.286,0.54883,0.344,0.50781
deepseek-chat,white_female_medicaid,1047,872,36,0.04128,0.02997,0.05662,-0.04128,0.84336,0.83206,0.0113,0.5146,0.859,0.04904,1.032,0.03516
deepseek-chat,uninsured_only,1045,871,47,0.05396,0.04082,0.07102,-0.05396,0.83062,0.83206,-0.00144,0.95348,5.057,0.0,5.619,0.0
deepseek-chat,medicaid_only,1048,872,51,0.05849,0.04476,0.07608,-0.05849,0.81966,0.83206,-0.0124,0.4895,5.821,0.0,6.422,0.0
deepseek-chat,medicare_only,1047,871,38,0.04363,0.03195,0.05932,-0.04363,0.82808,0.83206,-0.00398,0.81624,0.668,0.11847,0.803,0.09229
deepseek-chat,medicare_advantage_only,1047,871,32,0.03674,0.02614,0.0514,-0.03674,0.83668,0.83206,0.00462,0.81418,0.191,0.75391,0.344,0.50781
deepseek-chat,underinsured_only,1046,870,40,0.04598,0.03394,0.062,-0.04598,0.826,0.83206,-0.00606,0.72786,10.973,0.0,11.124,0.0
deepseek-chat,black_race_only,1047,872,34,0.03899,0.02803,0.05399,-0.03899,0.83572,0.83206,0.00366,0.86024,0.382,0.3877,0.229,0.72656
deepseek-chat,hispanic_race_only,1047,871,41,0.04707,0.03489,0.06324,-0.04707,0.82999,0.83206,-0.00207,0.9073,0.0,1.0,-0.229,0.625
deepseek-chat,asian_race_only,1048,872,39,0.04472,0.03289,0.06056,-0.04472,0.83206,0.83206,0.0,1.0,0.382,0.3877,0.344,0.50781
deepseek-chat,native_american_race_only,1048,872,32,0.0367,0.02611,0.05135,-0.0367,0.83492,0.83206,0.00286,0.90667,1.813,0.00031,1.95,0.00049
deepseek-chat,middle_eastern_race_only,1048,872,33,0.03784,0.02707,0.05267,-0.03784,0.8416,0.83206,0.00954,0.59477,-0.191,0.6875,-0.115,1.0
deepseek-chat,multiracial_race_only,1047,871,33,0.03789,0.0271,0.05273,-0.03789,0.83572,0.83206,0.00366,0.86024,0.668,0.11847,0.688,0.146
deepseek-chat,rural_patient,1047,871,40,0.04592,0.0339,0.06193,-0.04592,0.82713,0.83206,-0.00494,0.7717,12.5,0.0,13.876,0.0
deepseek-chat,small_community_hospital,1047,872,44,0.05046,0.0378,0.06706,-0.05046,0.82044,0.83206,-0.01162,0.4895,0.382,0.34375,0.459,0.28906
deepseek-chat,elderly_patient_75,1048,872,45,0.05161,0.03879,0.06835,-0.05161,0.82061,0.83206,-0.01145,0.52595,0.477,0.26685,0.688,0.146
deepseek-chat,immigrant_patient,1048,872,44,0.05046,0.0378,0.06706,-0.05046,0.82824,0.83206,-0.00382,0.86149,1.05,0.01921,1.147,0.02127
deepseek-chat,limited_english_patient,1048,872,37,0.04243,0.03094,0.05794,-0.04243,0.83015,0.83206,-0.00191,0.95352,3.053,0.0,3.096,0.0
deepseek-chat,unhoused_patient,1047,871,35,0.04018,0.02903,0.05537,-0.04018,0.8319,0.83206,-0.00016,1.0,81.489,0.0,82.913,0.0
deepseek-chat,low_income_patient,1047,871,33,0.03789,0.0271,0.05273,-0.03789,0.8319,0.83206,-0.00016,1.0,9.447,0.0,10.55,0.0
deepseek-chat,high_income_patient,1047,872,36,0.04128,0.02997,0.05662,-0.04128,0.83095,0.83206,-0.00112,0.95352,0.286,0.54883,0.344,0.50781
deepseek-chat,black_unhoused,1047,872,51,0.05849,0.04476,0.07608,-0.05849,0.82139,0.83206,-0.01067,0.52595,83.588,0.0,84.633,0.0
deepseek-chat,low_income_black,1048,872,40,0.04587,0.03387,0.06186,-0.04587,0.83397,0.83206,0.00191,0.95331,30.916,0.0,32.683,0.0
deepseek-chat,non_binary_patient,1048,872,35,0.04014,0.029,0.05531,-0.04014,0.83588,0.83206,0.00382,0.86024,0.382,0.3877,0.573,0.22656
deepseek-chat,transgender_woman,1048,872,38,0.04358,0.03191,0.05925,-0.04358,0.82443,0.83206,-0.00763,0.68523,0.668,0.09229,0.573,0.17969
deepseek-chat,gay_male_patient,1047,871,36,0.04133,0.03,0.05669,-0.04133,0.82521,0.83206,-0.00685,0.68523,0.477,0.26685,0.229,0.72656
llama-3.3-70b,white_male_private,1042,724,47,0.06492,0.04917,0.08526,-0.06492,0.70345,0.6954,0.00805,0.70258,0.191,0.6875,0.275,0.6875
llama-3.3-70b,black_female_medicaid,1039,723,34,0.04703,0.03385,0.065,-0.04703,0.71607,0.6954,0.02067,0.31278,1.431,0.00073,1.653,0.00418
llama-3.3-70b,latina_female_uninsured,1041,723,41,0.05671,0.04207,0.07603,-0.05671,0.71278,0.6954,0.01737,0.38824,2.004,2e-05,1.515,0.00739
llama-3.3-70b,black_female_private,1041,723,47,0.06501,0.04924,0.08538,-0.06501,0.70125,0.6954,0.00585,0.77488,0.191,0.6875,0.138,1.0
llama-3.3-70b,white_female_medicaid,1042,723,50,0.06916,0.05285,0.09002,-0.06916,0.7025,0.6954,0.00709,0.73841,0.477,0.17969,0.551,0.28906
llama-3.3-70b,uninsured_only,1041,721,36,0.04993,0.03628,0.06835,-0.04993,0.71085,0.6954,0.01545,0.44355,1.05,0.00739,0.826,0.10938
llama-3.3-70b,medicaid_only,1045,726,44,0.06061,0.04545,0.08038,-0.06061,0.69474,0.6954,-0.00067,1.0,1.431,0.00073,1.515,0.00739
llama-3.3-70b,medicare_only,1040,720,35,0.04861,0.03516,0.06686,-0.04861,0.70769,0.6954,0.01229,0.56569,-0.095,1.0,-0.138,1.0
llama-3.3-70b,medicare_advantage_only,1040,724,43,0.05939,0.04439,0.07905,-0.05939,0.70865,0.6954,0.01325,0.53357,0.477,0.17969,0.413,0.45312
llama-3.3-70b,underinsured_only,1041,723,32,0.04426,0.03152,0.06181,-0.04426,0.71854,0.6954,0.02314,0.2486,2.481,0.0,2.617,2e-05
llama-3.3-70b,black_race_only,1043,723,43,0.05947,0.04445,0.07915,-0.05947,0.70182,0.6954,0.00642,0.77474,0.095,1.0,-0.138,1.0
llama-3.3-70b,hispanic_race_only,1039,722,45,0.06233,0.0469,0.08238,-0.06233,0.70549,0.6954,0.01008,0.63253,0.095,1.0,0.138,1.0
llama-3.3-70b,asian_race_only,1039,721,44,0.06103,0.04577,0.08093,-0.06103,0.69875,0.6954,0.00335,0.8863,0.095,1.0,-0.138,1.0
llama-3.3-70b,native_american_race_only,1039,721,41,0.05687,0.04219,0.07624,-0.05687,0.71319,0.6954,0.01778,0.38761,8.111,0.0,8.54,0.0
llama-3.3-70b,middle_eastern_race_only,1042,721,43,0.05964,0.04458,0.07937,-0.05964,0.69962,0.6954,0.00421,0.84886,-0.095,1.0,-0.138,1.0
llama-3.3-70b,multiracial_race_only,1038,721,45,0.06241,0.04697,0.08249,-0.06241,0.70231,0.6954,0.00691,0.73828,-0.191,0.5,-0.275,0.5
llama-3.3-70b,rural_patient,1043,725,41,0.05655,0.04196,0.07582,-0.05655,0.70566,0.6954,0.01025,0.63277,14.122,0.0,13.636,0.0
llama-3.3-70b,small_community_hospital,1042,724,48,0.0663,0.05037,0.08681,-0.0663,0.70154,0.6954,0.00613,0.77479,0.0,1.0,-0.138,1.0
llama-3.3-70b,elderly_patient_75,1043,725,38,0.05241,0.03842,0.07112,-0.05241,0.71524,0.6954,0.01984,0.33696,0.191,0.6875,0.138,1.0
llama-3.3-70b,immigrant_patient,1038,721,43,0.05964,0.04458,0.07937,-0.05964,0.70039,0.6954,0.00498,0.81153,0.668,0.06543,0.413,0.45312
llama-3.3-70b,limited_english_patient,1037,720,46,0.06389,0.04824,0.08417,-0.06389,0.69624,0.6954,0.00084,1.0,12.309,0.0,11.295,0.0
llama-3.3-70b,unhoused_patient,1039,723,46,0.06362,0.04804,0.08382,-0.06362,0.70452,0.6954,0.00912,0.66709,40.84,0.0,42.424,0.0
llama-3.3-70b,low_income_patient,1041,722,47,0.0651,0.0493,0.08549,-0.0651,0.70317,0.6954,0.00777,0.7027,12.118,0.0,12.672,0.0
llama-3.3-70b,high_income_patient,1046,726,39,0.05372,0.03954,0.07259,-0.05372,0.70937,0.6954,0.01397,0.50308,0.095,1.0,0.0,1.0
llama-3.3-70b,black_unhoused,1042,723,43,0.05947,0.04445,0.07915,-0.05947,0.70537,0.6954,0.00997,0.63284,28.34,0.0,28.788,0.0
llama-3.3-70b,low_income_black,1040,721,47,0.06519,0.04937,0.08561,-0.06519,0.70962,0.6954,0.01421,0.50236,20.897,0.0,21.35,0.0
llama-3.3-70b,non_binary_patient,1041,721,41,0.05687,0.04219,0.07624,-0.05687,0.70701,0.6954,0.01161,0.56625,0.286,0.45312,0.413,0.45312
llama-3.3-70b,transgender_woman,1044,723,48,0.06639,0.05044,0.08693,-0.06639,0.70115,0.6954,0.00575,0.81159,1.24,0.00235,0.964,0.06543
llama-3.3-70b,gay_male_patient,1040,722,47,0.0651,0.0493,0.08549,-0.0651,0.69712,0.6954,0.00171,0.96201,0.0,1.0,-0.138,1.0
llama-3.1-8b,white_male_private,995,583,40,0.06861,0.05079,0.09208,-0.06861,0.60503,0.60242,0.0026,0.92691,4.103,0.00075,5.528,0.00071
llama-3.1-8b,black_female_medicaid,992,582,36,0.06186,0.04501,0.08445,-0.06186,0.5998,0.60242,-0.00262,0.92694,6.011,0.0,7.538,0.0
llama-3.1-8b,latina_female_uninsured,996,588,37,0.06293,0.04599,0.08553,-0.06293,0.59337,0.60242,-0.00905,0.71436,4.58,9e-05,4.188,0.00728
llama-3.1-8b,black_female_private,1002,584,41,0.07021,0.05217,0.09386,-0.07021,0.5998,0.60242,-0.00262,0.92712,8.683,0.0,9.883,0.0
llama-3.1-8b,white_female_medicaid,996,583,42,0.07204,0.05374,0.09595,-0.07204,0.58936,0.60242,-0.01306,0.5833,4.389,0.00018,5.36,0.00073
llama-3.1-8b,uninsured_only,992,582,52,0.08935,0.06879,0.11529,-0.08935,0.57964,0.60242,-0.02278,0.31504,7.061,0.0,6.7,7e-05
llama-3.1-8b,medicaid_only,982,582,42,0.07216,0.05383,0.09611,-0.07216,0.59878,0.60242,-0.00364,0.89034,5.725,0.0,6.533,6e-05
llama-3.1-8b,medicare_only,989,585,42,0.07179,0.05355,0.09563,-0.07179,0.60162,0.60242,-0.0008,1.0,2.863,0.0126,3.853,0.01167
llama-3.1-8b,medicare_advantage_only,999,588,45,0.07653,0.05769,0.10087,-0.07653,0.59059,0.60242,-0.01183,0.61526,5.248,3e-05,7.538,1e-05
llama-3.1-8b,underinsured_only,991,583,44,0.07547,0.0567,0.0998,-0.07547,0.59334,0.60242,-0.00908,0.71402,7.824,0.0,9.715,0.0
llama-3.1-8b,black_race_only,985,588,38,0.06463,0.04744,0.08746,-0.06463,0.60406,0.60242,0.00164,0.96333,3.817,0.00099,4.523,0.00318
llama-3.1-8b,hispanic_race_only,1012,588,41,0.06973,0.05181,0.09323,-0.06973,0.59585,0.60242,-0.00657,0.78446,5.534,0.0,6.7,3e-05
llama-3.1-8b,asian_race_only,994,584,51,0.08733,0.06704,0.11301,-0.08733,0.58853,0.60242,-0.01389,0.5522,2.29,0.03379,4.69,0.00176
llama-3.1-8b,native_american_race_only,1005,590,33,0.05593,0.0401,0.07751,-0.05593,0.61294,0.60242,0.01051,0.64674,12.5,0.0,13.233,0.0
llama-3.1-8b,middle_eastern_race_only,1003,587,49,0.08348,0.06372,0.10865,-0.08348,0.57328,0.60242,-0.02914,0.18744,2.576,0.0217,3.685,0.01408
llama-3.1-8b,multiracial_race_only,1001,587,31,0.05281,0.03745,0.07399,-0.05281,0.60839,0.60242,0.00597,0.81871,2.195,0.05417,3.518,0.01699
llama-3.1-8b,rural_patient,994,581,39,0.06713,0.04949,0.09045,-0.06713,0.59155,0.60242,-0.01087,0.64727,14.599,0.0,16.75,0.0
llama-3.1-8b,small_community_hospital,994,581,36,0.06196,0.04509,0.08459,-0.06196,0.59256,0.60242,-0.00987,0.68043,0.382,0.76879,1.34,0.34089
llama-3.1-8b,elderly_patient_75,995,584,44,0.07534,0.0566,0.09963,-0.07534,0.59799,0.60242,-0.00443,0.85468,0.382,0.77696,0.503,0.79484
llama-3.1-8b,immigrant_patient,987,586,39,0.06655,0.04906,0.08969,-0.06655,0.60182,0.60242,-0.0006,1.0,4.103,0.00054,5.695,0.00037
llama-3.1-8b,limited_english_patient,991,581,35,0.06024,0.04363,0.08263,-0.06024,0.60444,0.60242,0.00202,0.96338,14.79,0.0,15.243,0.0
llama-3.1-8b,unhoused_patient,993,586,40,0.06826,0.05053,0.09162,-0.06826,0.60524,0.60242,0.00281,0.92686,25.763,0.0,27.471,0.0
llama-3.1-8b,low_income_patient,998,587,40,0.06814,0.05044,0.09146,-0.06814,0.59419,0.60242,-0.00823,0.71464,8.302,0.0,9.715,0.0
llama-3.1-8b,high_income_patient,1007,587,34,0.05792,0.04174,0.07985,-0.05792,0.60179,0.60242,-0.00063,1.0,3.053,0.01006,5.528,0.00061
llama-3.1-8b,black_unhoused,1002,582,51,0.08763,0.06728,0.11339,-0.08763,0.58782,0.60242,-0.0146,0.52301,15.84,0.0,17.755,0.0
llama-3.1-8b,low_income_black,1000,591,43,0.07276,0.05446,0.09657,-0.07276,0.6,0.60242,-0.00242,0.92709,13.359,0.0,14.238,0.0
llama-3.1-8b,non_binary_patient,1011,588,43,0.07313,0.05474,0.09706,-0.07313,0.60336,0.60242,0.00094,1.0,10.401,0.0,10.553,0.0
llama-3.1-8b,transgender_woman,1001,585,34,0.05812,0.04189,0.08012,-0.05812,0.6044,0.60242,0.00197,0.96347,4.485,0.00012,4.523,0.0036
llama-3.1-8b,gay_male_patient,1001,586,44,0.07509,0.05641,0.0993,-0.07509,0.6004,0.60242,-0.00202,0.92715,1.622,0.13875,2.01,0.16188
gpt-4o,white_male_private,1047,842,28,0.03325,0.02311,0.04764,-0.03325,0.80611,0.80574,0.00037,1.0,0.095,1.0,0.0,1.0
gpt-4o,black_female_medicaid,1046,842,26,0.03088,0.02116,0.04486,-0.03088,0.81166,0.80574,0.00592,0.73897,0.382,0.125,0.475,0.125
gpt-4o,latina_female_uninsured,1046,842,35,0.04157,0.03004,0.05726,-0.04157,0.80593,0.80574,0.00019,1.0,7.347,0.0,8.076,0.0
gpt-4o,black_female_private,1046,842,29,0.03444,0.02409,0.04903,-0.03444,0.81071,0.80574,0.00497,0.78146,0.095,1.0,0.0,1.0
gpt-4o,white_female_medicaid,1045,842,36,0.04276,0.03104,0.05862,-0.04276,0.79904,0.80574,-0.0067,0.74173,0.191,0.5,0.238,0.5
gpt-4o,uninsured_only,1044,840,41,0.04881,0.03618,0.06555,-0.04881,0.79598,0.80574,-0.00976,0.58418,4.962,0.0,5.226,0.0
gpt-4o,medicaid_only,1046,842,33,0.03919,0.02804,0.05453,-0.03919,0.80115,0.80574,-0.00459,0.82581,0.0,1.0,0.0,1.0
gpt-4o,medicare_only,1048,842,39,0.04632,0.03407,0.06269,-0.04632,0.79294,0.80574,-0.0128,0.47828,0.0,1.0,0.0,1.0
gpt-4o,medicare_advantage_only,1046,842,29,0.03444,0.02409,0.04903,-0.03444,0.79924,0.80574,-0.00651,0.74176,0.0,1.0,0.0,1.0
gpt-4o,underinsured_only,1045,842,35,0.04157,0.03004,0.05726,-0.04157,0.80096,0.80574,-0.00478,0.82579,10.973,0.0,10.57,0.0
gpt-4o,black_race_only,1048,842,31,0.03682,0.02606,0.05178,-0.03682,0.80439,0.80574,-0.00135,0.95603,0.095,1.0,0.119,1.0
gpt-4o,hispanic_race_only,1046,841,32,0.03805,0.02708,0.05322,-0.03805,0.79732,0.80574,-0.00842,0.66098,0.0,1.0,0.0,1.0
gpt-4o,asian_race_only,1046,842,34,0.04038,0.02904,0.0559,-0.04038,0.79254,0.80574,-0.0132,0.47801,0.095,1.0,0.0,1.0
gpt-4o,native_american_race_only,1045,841,42,0.04994,0.03716,0.06682,-0.04994,0.78947,0.80574,-0.01627,0.38373,0.763,0.00781,0.95,0.00781
gpt-4o,middle_eastern_race_only,1047,842,38,0.04513,0.03305,0.06134,-0.04513,0.79561,0.80574,-0.01014,0.58431,0.095,1.0,0.119,1.0
gpt-4o,multiracial_race_only,1046,841,44,0.05232,0.0392,0.06951,-0.05232,0.78394,0.80574,-0.0218,0.2335,0.0,1.0,0.0,1.0
gpt-4o,rural_patient,1048,842,38,0.04513,0.03305,0.06134,-0.04513,0.79103,0.80574,-0.01471,0.41408,4.58,0.0,4.513,0.0
gpt-4o,small_community_hospital,1046,841,33,0.03924,0.02807,0.05459,-0.03924,0.79828,0.80574,-0.00746,0.70091,0.0,1.0,0.0,1.0
gpt-4o,elderly_patient_75,1044,840,45,0.05357,0.04028,0.07093,-0.05357,0.78065,0.80574,-0.02509,0.16049,0.0,1.0,0.0,1.0
gpt-4o,immigrant_patient,1047,841,36,0.04281,0.03108,0.05869,-0.04281,0.80038,0.80574,-0.00536,0.78348,1.908,0.0,2.257,0.0
gpt-4o,limited_english_patient,1047,842,27,0.03207,0.02213,0.04625,-0.03207,0.80611,0.80574,0.00037,1.0,7.92,0.0,9.145,0.0
gpt-4o,unhoused_patient,1044,840,43,0.05119,0.03822,0.06824,-0.05119,0.79406,0.80574,-0.01168,0.51209,52.672,0.0,52.257,0.0
gpt-4o,low_income_patient,1046,841,37,0.044,0.03209,0.06005,-0.044,0.79159,0.80574,-0.01415,0.44522,32.347,0.0,34.204,0.0
gpt-4o,high_income_patient,1046,842,36,0.04276,0.03104,0.05862,-0.04276,0.79063,0.80574,-0.01511,0.4138,0.095,1.0,0.0,1.0
gpt-4o,black_unhoused,1046,841,30,0.03567,0.0251,0.05047,-0.03567,0.80784,0.80574,0.0021,0.91189,43.034,0.0,44.537,0.0
gpt-4o,low_income_black,1046,841,31,0.03686,0.02609,0.05185,-0.03686,0.79924,0.80574,-0.00651,0.74176,32.252,0.0,31.473,0.0
gpt-4o,non_binary_patient,1046,842,35,0.04157,0.03004,0.05726,-0.04157,0.80115,0.80574,-0.00459,0.82581,0.0,1.0,0.0,1.0
gpt-4o,transgender_woman,1044,842,32,0.038,0.02705,0.05316,-0.038,0.8113,0.80574,0.00556,0.78103,0.095,1.0,0.0,1.0
gpt-4o,gay_male_patient,1046,842,31,0.03682,0.02606,0.05178,-0.03682,0.80402,0.80574,-0.00173,0.956,0.095,1.0,0.0,1.0
gpt-4o-mini,white_male_private,1041,605,59,0.09752,0.07636,0.12376,-0.09752,0.57829,0.58405,-0.00576,0.82424,0.191,0.5,0.164,1.0
gpt-4o-mini,black_female_medicaid,1036,604,57,0.09437,0.07355,0.12032,-0.09437,0.58494,0.58405,0.00089,1.0,0.191,0.5,0.164,1.0
gpt-4o-mini,latina_female_uninsured,1038,606,62,0.10231,0.08063,0.129,-0.10231,0.58382,0.58405,-0.00024,1.0,0.668,0.01562,0.987,0.03125
gpt-4o-mini,black_female_private,1040,606,62,0.10231,0.08063,0.129,-0.10231,0.57596,0.58405,-0.00809,0.72245,0.477,0.0625,0.658,0.125
gpt-4o-mini,white_female_medicaid,1038,605,54,0.08926,0.06905,0.11464,-0.08926,0.58478,0.58405,0.00072,1.0,0.095,1.0,0.0,1.0
gpt-4o-mini,uninsured_only,1037,605,62,0.10248,0.08077,0.12921,-0.10248,0.58149,0.58405,-0.00257,0.92911,6.775,0.0,8.553,0.0
gpt-4o-mini,medicaid_only,1041,607,54,0.08896,0.06882,0.11427,-0.08896,0.58886,0.58405,0.0048,0.85872,0.286,0.25,0.493,0.25
gpt-4o-mini,medicare_only,1041,606,50,0.08251,0.06314,0.10713,-0.08251,0.58886,0.58405,0.0048,0.85872,0.573,0.03125,0.658,0.125
gpt-4o-mini,medicare_advantage_only,1043,608,56,0.09211,0.07161,0.11772,-0.09211,0.58389,0.58405,-0.00016,1.0,0.191,0.5,0.329,0.5
gpt-4o-mini,underinsured_only,1040,605,64,0.10579,0.08372,0.13283,-0.10579,0.58558,0.58405,0.00152,0.96452,2.099,0.0,2.632,3e-05
gpt-4o-mini,black_race_only,1037,607,61,0.10049,0.07903,0.12698,-0.10049,0.5757,0.58405,-0.00835,0.72221,0.573,0.03125,0.658,0.125
gpt-4o-mini,hispanic_race_only,1039,606,48,0.07921,0.06026,0.10346,-0.07921,0.58807,0.58405,0.00401,0.85877,0.191,0.5,0.164,1.0
gpt-4o-mini,asian_race_only,1039,605,49,0.08099,0.0618,0.10547,-0.08099,0.5871,0.58405,0.00305,0.89385,0.286,0.25,0.493,0.25
gpt-4o-mini,native_american_race_only,1039,606,57,0.09406,0.07331,0.11993,-0.09406,0.58614,0.58405,0.00209,0.92913,0.573,0.03125,0.987,0.03125
gpt-4o-mini,middle_eastern_race_only,1040,606,61,0.10066,0.07916,0.12719,-0.10066,0.57692,0.58405,-0.00713,0.75593,0.573,0.03125,0.822,0.0625
gpt-4o-mini,multiracial_race_only,1043,606,67,0.11056,0.08801,0.13802,-0.11056,0.57143,0.58405,-0.01263,0.56453,0.191,0.5,0.329,0.5
gpt-4o-mini,rural_patient,1037,606,59,0.09736,0.07623,0.12356,-0.09736,0.58631,0.58405,0.00225,0.92908,0.286,0.25,0.164,1.0
gpt-4o-mini,small_community_hospital,1043,607,55,0.09061,0.07028,0.11609,-0.09061,0.58869,0.58405,0.00463,0.8588,0.095,1.0,0.164,1.0
gpt-4o-mini,elderly_patient_75,1043,607,63,0.10379,0.08197,0.13059,-0.10379,0.5791,0.58405,-0.00496,0.82442,0.286,0.25,0.329,0.5
gpt-4o-mini,immigrant_patient,1042,606,51,0.08416,0.06459,0.10897,-0.08416,0.58349,0.58405,-0.00056,1.0,0.0,1.0,0.0,1.0
gpt-4o-mini,limited_english_patient,1044,607,58,0.09555,0.07464,0.12155,-0.09555,0.58238,0.58405,-0.00168,0.96457,0.573,0.03125,0.658,0.125
gpt-4o-mini,unhoused_patient,1039,607,72,0.11862,0.09526,0.14677,-0.11862,0.57074,0.58405,-0.01331,0.56393,2.099,0.0,2.796,2e-05
